Sale Date,Item Name,Variations,Quantity
2022-06-16,"Chain Tab Connector","Color:Gold Filled, Quantity Discount:10pcs",1
2022-06-16,"Crimp Cover","Size:4mm, Quantity Discount:10pcs",1
2022-06-16,"Spring Ring Clasp","Size:5mm closed ring, Quantity Discount:5pcs",1
2022-06-16,"Round Tag Disc","Quantity Discount:2pcs",2
2022-06-16,"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:10pcs",1
2022-06-15,"Ear Hooks","Quantity Discount:10 Pairs",1
2022-06-15,"Open Jump Ring","Size:4mm 22ga (0.64mm), Quantity Discount:10pcs",2
2022-06-14,"Gold Filled Beads","Bead Size:3mm - 200 beads",1
2022-06-14,"Gold Filled Beads","Bead Size:4mm - 100 beads",1
2022-06-14,"Star Heart Moon Charm","Style:Star, Quantity Discount:2 pcs",1
2022-06-14,"Spring Ring Clasp","Size:6mm open ring, Quantity Discount:5pcs",1
2022-06-14,"Gold Filled Beads","Bead Size:2.5mm - 200 beads",1
2022-06-14,"Gold Filled Beads","Bead Size:5mm - 80 beads",1
2022-06-14,"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:10pcs",1
2022-06-14,"Star Heart Moon Charm","Style:Heart, Quantity Discount:2 pcs",1
2022-06-13,"Shell Charm","Quantity Discount:2pcs",1
2022-06-13,"2PCS 14K Gold Filled Starfish Charm 9.8 x 7.9mm, Pendant Findings for Jewelry Making","Quantity Discount:2pcs",1
2022-06-13,"Sun Charm","Quantity Discount:2pcs",1
2022-06-12,"Open Jump Ring","Size:3mm 22ga (0.64mm), Quantity Discount:10pcs",1
2022-06-12,"Spring Ring Clasp","Size:5.5mm open ring, Quantity Discount:20pcs",1
2022-06-12,"Open Jump Ring","Size:4mm 22ga (0.64mm), Quantity Discount:10pcs",1
2022-06-12,"Spring Ring Clasp","Size:6mm closed ring, Quantity Discount:20pcs",1
2022-06-11,"Gold Filled Beads","Bead Size:2.5mm - 50 beads",1
2022-06-10,"Gold Filled Beads","Bead Size:2mm - 400 beads",1
2022-06-10,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-06-10,"Gold Filled Beads","Bead Size:4mm - 25 beads",2
2022-06-10,"Rose Gold Filled Beads","Bead Size:2mm - 400 beads",1
2022-06-10,"Gold Filled Beads","Bead Size:3mm - 50 beads",2
2022-06-09,"Open Jump Ring","Size:5mm 22ga (0.64mm), Quantity Discount:50pcs",1
2022-06-09,"Open Jump Ring","Size:4mm 22ga (0.64mm), Quantity Discount:50pcs",1
2022-06-07,"Gold Filled Beads","Bead Size:4mm - 25 beads",1
2022-06-07,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-06-07,"Chain Tab Connector","Color:Gold Filled, Quantity Discount:10pcs",1
2022-06-07,"Spring Ring Clasp","Size:5mm closed ring, Quantity Discount:5pcs",2
2022-06-06,"Open Jump Ring","Size:3mm 22ga (0.64mm), Quantity Discount:50pcs",1
2022-06-06,"Open Jump Ring","Size:4mm 20ga (0.76mm), Quantity Discount:10pcs",1
2022-06-05,"Crimp Cover","Size:4mm, Quantity Discount:50pcs",1
2022-06-05,"Spring Ring Clasp","Size:6mm closed ring, Quantity Discount:20pcs",1
2022-06-04,"Gold Filled Beads","Bead Size:4mm - 25 beads",2
2022-06-04,"Gold Filled Beads","Bead Size:4mm - 100 beads",1
2022-06-04,"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:10pcs",1
2022-06-04,"Chunky Huggie Hoop Earrings","",2
2022-06-04,"Flower Shaped Rhinestone Earrings","",2
2022-06-04,"Clear CZ Charm","Quantity Discount:2pcs",1
2022-06-03,"Gold Filled Beads","Bead Size:5mm - 40 beads",1
2022-06-03,"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:5pcs",1
2022-06-03,"Open Jump Ring","Size:4mm 22ga (0.64mm), Quantity Discount:10pcs",1
2022-06-03,"Gold Filled Beads","Bead Size:4mm - 25 beads",2
2022-06-03,"Sun Charm","Quantity Discount:2pcs",1
2022-06-02,"Open Jump Ring","Size:3mm 22ga (0.64mm), Quantity Discount:50pcs",1
2022-06-01,"Ear Wire Beading Hoop","Size:25mm, Quantity Discount:4 pairs",1
2022-06-01,"Open Jump Ring","Size:5mm 20ga (0.76mm), Quantity Discount:10pcs",1
2022-06-01,"Rose Gold Filled Beads","Bead Size:2mm - 100 beads",1
